Identifier,Gender,Ethinicity,Parent Education,lunch,Coaching,Numerical,Vocabulary,Comprehension,internet,freetime,goout,health,absences,Mjob,Fjob,reason,guardian,traveltime,studytime
4005,female,group B,some high school,free/reduced,none,63,74,57,no,1,1,1,74,health,at_home,course,other,2,4
4006,female,group C,bachelor's degree,standard,yes,70,82,68,no,3,5,1,16,health,health,reputation,mother,2,2
4007,female,group B,bachelor's degree,free/reduced,none,67,83,43,no,2,5,2,16,teacher,other,other,other,1,4
4008,male,group D,master's degree,free/reduced,yes,62,74,46,no,2,5,3,56,at_home,health,reputation,other,1,3
4009,male,group B,some college,free/reduced,none,51,78,53,no,5,3,3,45,at_home,health,course,mother,2,2
4010,female,group C,some college,free/reduced,yes,46,78,57,yes,4,5,5,17,teacher,health,reputation,other,3,1
4011,female,group C,some high school,free/reduced,yes,49,81,62,no,3,2,2,51,at_home,at_home,reputation,mother,3,3
4012,female,group D,master's degree,free/reduced,yes,47,85,70,no,5,4,4,31,services,other,course,mother,4,4
4013,female,group D,some high school,free/reduced,yes,63,76,56,yes,5,2,1,60,teacher,teacher,reputation,other,4,2
4014,male,group A,some college,free/reduced,yes,45,73,48,yes,3,1,1,41,other,at_home,other,mother,3,2
4015,female,group A,high school,free/reduced,yes,45,69,47,yes,5,5,2,4,services,teacher,reputation,mother,1,1
4016,female,group B,bachelor's degree,free/reduced,yes,52,83,64,yes,2,2,3,53,services,at_home,course,other,1,2
4017,female,group E,some college,standard,yes,45,84,62,no,1,4,5,54,services,teacher,reputation,father,2,2
4018,male,group E,some high school,standard,none,62,87,58,no,1,3,3,48,teacher,other,course,other,3,1
4019,female,group A,master's degree,standard,yes,46,77,62,no,5,4,1,18,teacher,health,reputation,other,1,2
4020,male,group D,some college,free/reduced,none,55,88,52,yes,3,2,5,73,health,health,course,father,3,4
4021,female,group B,some college,standard,yes,60,74,68,no,5,3,3,41,teacher,at_home,home,mother,3,3
4022,female,group B,bachelor's degree,standard,yes,48,73,70,no,1,4,5,6,at_home,teacher,other,other,1,4
4023,female,group C,some high school,free/reduced,yes,44,82,48,no,1,4,1,3,other,at_home,home,mother,4,3
4024,male,group D,bachelor's degree,standard,none,41,68,64,no,3,4,3,71,at_home,services,other,father,4,2
4025,female,group E,bachelor's degree,free/reduced,yes,56,76,51,yes,2,4,5,60,at_home,services,other,mother,2,1
4026,female,group A,high school,standard,yes,65,74,50,no,4,5,4,2,services,health,course,mother,3,1
4027,female,group E,master's degree,free/reduced,yes,58,71,55,no,4,3,2,35,services,at_home,other,mother,4,3
4028,male,group A,high school,free/reduced,yes,60,86,62,no,3,4,1,68,other,health,home,other,1,3
4029,male,group D,high school,standard,none,50,85,62,yes,2,1,3,36,services,at_home,home,mother,1,2
4030,male,group A,bachelor's degree,standard,none,47,89,67,yes,3,4,1,21,services,teacher,reputation,father,3,1
4031,female,group C,some high school,standard,yes,61,76,41,yes,3,4,3,59,other,health,course,other,4,2
4032,female,group D,some college,standard,yes,62,85,57,no,5,1,1,26,at_home,teacher,reputation,other,2,1
4033,female,group A,some college,standard,none,53,70,66,yes,1,3,5,12,teacher,other,home,other,3,1
4034,female,,some high school,free/reduced,yes,47,69,51,no,5,2,2,50,health,health,course,mother,4,1
4035,female,group D,master's degree,standard,yes,56,83,59,yes,5,2,2,24,at_home,other,home,other,4,3
4036,female,group E,some high school,free/reduced,yes,45,68,53,no,2,5,1,74,teacher,other,other,father,1,2
4037,male,group D,bachelor's degree,free/reduced,yes,48,78,65,yes,5,2,4,16,services,teacher,home,other,1,3
4038,male,group C,high school,standard,yes,46,72,55,yes,3,4,4,2,services,at_home,course,father,2,1
4039,male,group E,some college,free/reduced,none,67,88,66,yes,5,1,3,5,services,teacher,home,other,2,2
4040,male,group E,high school,free/reduced,yes,55,88,62,no,5,3,4,3,health,health,home,mother,3,3
4041,male,group A,some high school,standard,yes,66,79,60,yes,2,2,2,40,services,teacher,course,other,1,4
4042,female,group A,master's degree,free/reduced,yes,52,76,42,no,5,4,3,39,teacher,at_home,reputation,father,2,4
4043,male,group D,some college,free/reduced,yes,46,81,44,no,3,5,2,64,teacher,teacher,other,other,4,3
4044,male,group D,bachelor's degree,free/reduced,none,61,70,51,no,3,5,1,32,teacher,services,reputation,mother,4,4
4045,female,group B,bachelor's degree,free/reduced,yes,61,72,49,yes,4,5,4,27,teacher,at_home,reputation,mother,4,2
4046,female,group E,some high school,standard,yes,70,76,59,no,3,3,3,39,other,other,course,other,4,2
4047,female,group B,some college,free/reduced,yes,48,82,50,yes,4,5,2,66,teacher,teacher,other,other,4,2
4048,male,group C,high school,standard,yes,52,84,63,yes,5,2,4,59,teacher,health,home,mother,1,1
4049,male,group E,some college,standard,yes,59,67,54,no,3,4,4,9,health,services,course,father,1,1
4050,male,group A,master's degree,standard,yes,62,75,50,yes,1,1,2,9,health,at_home,reputation,father,1,2
4051,female,group E,master's degree,free/reduced,yes,49,73,51,yes,5,1,5,67,at_home,services,reputation,other,2,1
4052,female,group C,master's degree,free/reduced,none,56,72,42,no,5,3,3,33,teacher,health,course,other,3,3
4053,male,group D,master's degree,standard,yes,52,72,57,no,5,3,3,49,at_home,other,other,mother,3,2
4054,male,group C,high school,free/reduced,yes,67,88,51,yes,5,1,4,57,teacher,health,course,other,1,4
4055,male,group D,some college,free/reduced,yes,58,73,45,no,3,3,4,66,health,other,home,father,1,3
4056,female,group B,some college,free/reduced,yes,59,84,41,no,1,3,5,26,health,services,course,mother,2,4
4057,female,group B,bachelor's degree,standard,none,41,80,44,yes,2,4,3,40,at_home,other,other,other,3,1
4058,male,group D,master's degree,standard,yes,53,75,49,yes,1,1,5,19,services,health,course,other,3,1
4059,female,group E,bachelor's degree,free/reduced,yes,60,71,64,yes,2,4,4,17,health,health,course,mother,4,1
4060,female,group D,some high school,free/reduced,none,50,75,43,no,4,2,1,9,services,health,other,father,2,1
4061,male,group D,bachelor's degree,free/reduced,none,41,88,61,yes,4,4,4,30,services,services,home,mother,1,4
4062,female,group E,master's degree,free/reduced,yes,42,67,53,no,5,1,3,16,health,teacher,course,father,2,3
4063,female,group C,some high school,standard,yes,67,68,69,no,5,2,5,9,teacher,services,reputation,mother,2,3
4064,male,group A,master's degree,free/reduced,none,54,68,47,yes,4,3,3,35,at_home,teacher,other,father,1,1
4065,male,group E,bachelor's degree,standard,yes,54,81,67,no,3,5,2,71,at_home,health,reputation,father,3,4
4066,male,group D,high school,free/reduced,none,40,80,62,yes,5,1,1,66,health,services,course,mother,2,4
4067,male,group B,master's degree,standard,yes,52,74,70,no,1,3,1,34,other,health,course,other,3,1
4068,female,group C,some high school,standard,none,54,83,40,no,3,3,2,50,health,other,reputation,mother,1,2
4069,male,group A,bachelor's degree,standard,yes,56,68,40,yes,2,4,1,20,teacher,health,other,mother,2,1
4070,female,group A,some high school,standard,yes,64,69,54,yes,3,1,4,52,teacher,services,reputation,mother,4,3
4071,male,group A,some high school,standard,yes,46,71,47,no,5,5,1,22,teacher,services,course,mother,4,2
4072,female,group B,some college,standard,none,64,68,68,yes,5,2,1,38,teacher,services,other,mother,2,1
4073,male,group A,high school,free/reduced,none,48,82,66,yes,4,5,3,18,at_home,health,course,mother,4,1
4074,male,group D,high school,free/reduced,none,69,75,69,yes,3,1,2,31,teacher,health,course,father,2,3
4075,female,group D,high school,standard,none,40,69,46,yes,4,1,2,1,teacher,health,home,father,1,1
4076,male,group B,high school,standard,yes,48,76,56,yes,2,1,5,24,at_home,health,reputation,mother,2,3
4077,female,group E,some college,standard,none,55,87,41,no,1,2,4,35,at_home,health,other,father,2,1
4078,female,group A,master's degree,standard,yes,67,78,53,no,1,4,4,67,teacher,health,reputation,other,2,2
4079,male,group B,some college,standard,none,66,75,67,no,5,5,2,27,other,teacher,course,mother,3,2
4080,female,group B,some college,standard,yes,40,77,57,no,4,5,5,52,services,teacher,reputation,mother,3,2
4081,male,group B,master's degree,standard,yes,57,89,64,no,4,5,5,67,other,services,home,mother,4,1
4082,female,group D,master's degree,free/reduced,none,52,75,62,no,3,3,3,3,at_home,services,home,mother,2,2
4083,male,group C,some college,standard,none,63,88,54,no,3,5,4,50,other,health,other,mother,3,1
4084,female,group B,some high school,free/reduced,none,59,73,59,yes,3,3,3,29,at_home,other,home,father,2,3
4085,female,group D,some college,free/reduced,none,51,77,48,yes,4,5,2,17,other,health,home,mother,4,3
4086,male,group C,high school,free/reduced,none,42,82,57,yes,2,3,1,21,other,services,other,mother,3,4
4087,male,group B,some high school,free/reduced,yes,70,70,43,no,1,3,3,39,other,teacher,course,father,3,4
4088,male,group C,bachelor's degree,standard,none,70,72,52,no,5,4,1,11,at_home,teacher,course,mother,4,2
4089,male,group D,some college,standard,none,56,70,50,no,1,4,5,48,teacher,at_home,home,father,3,4
4090,male,group B,master's degree,standard,yes,63,71,52,yes,5,5,1,67,at_home,services,course,father,4,4
4091,male,group D,some college,free/reduced,none,54,73,51,no,5,1,4,13,other,other,reputation,mother,2,2
4092,female,group B,some college,standard,yes,43,76,65,yes,1,1,1,27,health,other,course,other,2,2
4093,male,group A,master's degree,free/reduced,yes,68,85,53,yes,5,5,1,16,other,services,course,mother,1,1
4094,male,group D,master's degree,standard,yes,63,67,40,yes,4,3,1,2,other,at_home,home,father,1,2
4095,female,group B,some college,free/reduced,none,51,80,43,no,4,4,4,59,other,services,other,mother,3,4
4096,male,group A,master's degree,standard,none,53,81,57,yes,2,3,5,20,at_home,teacher,course,other,4,1
4097,male,group D,some high school,free/reduced,yes,47,82,56,no,4,3,2,11,health,health,home,father,1,2
4098,female,group D,high school,free/reduced,yes,47,70,46,yes,1,2,3,27,services,health,reputation,mother,4,4
4099,female,group B,high school,free/reduced,none,62,86,46,no,2,5,4,71,other,teacher,home,father,4,1
4100,male,group B,some college,standard,yes,70,75,67,no,4,3,1,54,health,other,other,mother,2,3
4101,male,group A,high school,free/reduced,none,51,85,60,yes,4,3,1,29,health,at_home,other,father,2,1
4102,male,group E,master's degree,standard,none,63,74,69,no,2,4,5,14,services,health,home,mother,1,2
4103,male,group D,master's degree,free/reduced,yes,42,80,57,yes,1,2,2,46,at_home,teacher,home,mother,3,2
4104,female,group A,high school,standard,yes,67,79,67,no,4,4,5,73,health,services,home,father,3,1
4105,male,group E,master's degree,free/reduced,yes,56,81,45,yes,5,3,2,14,teacher,services,reputation,mother,3,4
4106,female,group A,some high school,free/reduced,yes,58,77,55,no,4,1,2,21,at_home,services,other,mother,4,3
4107,male,group D,master's degree,free/reduced,none,68,75,41,no,1,5,5,14,teacher,services,reputation,mother,2,3
4108,female,group C,some college,standard,none,44,83,55,no,4,1,1,32,at_home,health,home,mother,2,1
4109,female,group B,high school,free/reduced,yes,52,83,58,yes,1,1,1,7,at_home,services,other,father,3,2
4110,female,group E,some high school,standard,none,65,77,44,yes,3,3,5,20,other,other,course,father,4,3
4111,male,group A,some college,free/reduced,yes,50,88,58,no,1,1,2,36,teacher,services,course,father,1,4
4112,female,group E,bachelor's degree,free/reduced,none,62,78,51,no,5,2,2,38,at_home,other,home,other,1,2
4113,male,group D,some high school,free/reduced,yes,58,77,50,yes,3,3,5,61,health,at_home,home,mother,3,2
4114,female,group A,some high school,free/reduced,yes,48,78,51,yes,5,2,5,3,other,services,other,father,1,4
4115,male,group B,some high school,free/reduced,none,51,73,49,no,5,2,3,41,other,other,home,mother,1,1
4116,female,group D,high school,free/reduced,yes,63,76,51,yes,1,1,1,63,services,other,other,other,1,1
4117,male,group E,some college,free/reduced,none,53,67,42,yes,2,3,3,34,at_home,teacher,home,other,4,3
4118,female,group E,master's degree,free/reduced,yes,44,86,46,yes,5,3,2,58,other,other,other,mother,2,4
4119,female,group C,high school,standard,none,61,89,66,no,4,5,5,36,other,health,other,other,4,1
4120,female,group E,high school,standard,none,62,72,61,no,3,1,2,22,services,at_home,reputation,father,1,4
4121,female,group A,high school,standard,none,54,72,43,yes,4,3,2,26,at_home,teacher,other,father,2,4
4122,female,group D,some college,free/reduced,none,58,81,61,yes,1,5,5,63,services,at_home,other,father,1,4
4123,male,group B,high school,standard,yes,64,83,53,yes,2,5,2,41,at_home,services,home,father,3,4
4124,male,group C,master's degree,standard,none,49,88,50,yes,1,2,3,49,other,health,reputation,other,1,4
4125,male,group A,high school,standard,yes,47,74,44,no,3,2,5,27,other,health,home,father,1,2
4126,male,group B,some high school,standard,yes,54,77,47,yes,4,3,1,26,other,health,home,mother,1,4
4127,male,group B,bachelor's degree,free/reduced,yes,69,79,57,yes,2,3,3,65,teacher,health,course,other,4,2
4128,male,group C,master's degree,free/reduced,yes,56,88,64,no,1,3,1,8,teacher,services,course,other,4,2
4129,male,group D,bachelor's degree,standard,none,51,78,67,yes,5,5,2,59,health,services,home,mother,1,1
4130,male,group C,bachelor's degree,standard,none,56,69,57,yes,1,4,5,65,teacher,teacher,reputation,father,1,4
4131,female,group D,some college,free/reduced,none,52,74,40,no,5,1,2,19,other,health,other,other,4,3
4132,male,group C,bachelor's degree,free/reduced,none,69,78,48,yes,4,3,1,61,teacher,health,reputation,father,3,1
4133,male,group C,master's degree,free/reduced,none,65,85,55,yes,4,2,4,0,services,health,other,other,3,4
4134,female,group B,some college,standard,none,40,82,69,no,1,3,4,67,at_home,health,other,mother,1,4
4135,male,group A,master's degree,standard,none,41,78,62,no,2,2,5,67,other,services,other,other,4,4
4136,female,group B,master's degree,free/reduced,none,43,88,40,yes,1,3,1,37,other,at_home,home,other,4,1
4137,male,group C,some college,free/reduced,none,59,67,68,no,3,3,5,50,at_home,teacher,home,mother,2,1
4138,female,group A,high school,free/reduced,none,60,69,41,no,3,1,4,62,services,other,reputation,other,3,1
4139,female,group C,high school,standard,yes,54,75,57,yes,4,2,4,7,teacher,services,other,mother,3,2
4140,female,group E,high school,free/reduced,yes,57,77,65,no,5,2,5,62,services,health,home,father,4,1
4141,male,group C,master's degree,standard,none,42,76,53,yes,3,4,4,57,other,other,other,mother,3,4
4142,male,group C,some high school,standard,none,61,72,49,yes,4,2,1,18,services,other,course,other,1,3
4143,male,group B,some high school,free/reduced,yes,55,86,67,yes,2,5,3,41,at_home,other,reputation,father,1,2
4144,female,group E,bachelor's degree,standard,none,41,67,55,no,2,5,4,29,services,at_home,course,other,1,3
4145,female,group B,some high school,free/reduced,none,58,79,46,no,5,2,5,23,teacher,health,home,other,1,4
4146,male,group B,some high school,standard,yes,53,87,41,no,3,1,4,10,at_home,health,reputation,father,4,3
4147,female,group C,high school,free/reduced,none,55,87,63,no,3,1,2,18,health,services,reputation,mother,3,1
4148,male,group C,high school,standard,yes,66,83,60,yes,3,5,3,47,health,at_home,reputation,other,1,1
4149,female,group B,bachelor's degree,standard,none,47,80,59,no,1,1,3,72,teacher,services,other,father,2,4
4150,male,group B,some high school,free/reduced,none,56,82,48,yes,1,1,5,65,health,other,course,other,3,1
4151,female,group B,master's degree,free/reduced,yes,45,69,53,yes,4,1,5,75,teacher,at_home,course,father,1,2
4152,female,group D,high school,standard,none,54,78,59,yes,2,5,2,69,services,at_home,course,father,4,1
4153,male,group D,some high school,standard,none,50,72,44,yes,5,1,2,4,health,teacher,home,mother,3,3
4154,female,group B,some high school,standard,none,45,79,63,yes,4,2,5,69,at_home,health,other,mother,4,3
4155,female,group A,high school,free/reduced,none,58,78,40,no,5,2,4,71,teacher,teacher,reputation,mother,3,3
4156,female,group E,some high school,standard,yes,52,69,44,yes,4,3,1,72,at_home,other,home,father,2,4
4157,female,group B,high school,standard,yes,49,68,65,yes,1,5,5,75,other,other,course,mother,2,4
4158,female,group D,high school,standard,yes,42,85,44,yes,5,2,3,36,teacher,at_home,course,mother,2,4
4159,male,group E,master's degree,standard,yes,49,81,63,yes,1,2,4,68,health,other,other,other,1,3
4160,male,group C,bachelor's degree,standard,none,64,72,64,yes,2,2,1,23,other,at_home,other,father,2,2
4161,female,group C,high school,standard,yes,43,88,41,no,4,2,3,75,teacher,services,other,father,3,4
4162,male,group E,bachelor's degree,standard,none,48,83,66,yes,1,4,4,53,health,other,home,other,3,2
4163,male,group D,high school,free/reduced,none,68,78,70,yes,5,4,4,64,teacher,services,home,father,4,4
4164,female,group C,some college,standard,yes,65,81,52,no,3,3,1,58,teacher,at_home,reputation,mother,3,2
4165,male,group A,bachelor's degree,standard,none,57,81,40,yes,5,4,3,31,other,at_home,home,other,1,1
4166,female,group A,some college,free/reduced,yes,45,87,44,no,4,1,2,55,health,health,reputation,other,3,1
4167,male,group C,some high school,free/reduced,yes,65,83,61,no,1,5,2,27,services,at_home,other,mother,4,4
4168,female,group B,some high school,standard,yes,67,88,41,no,5,5,2,7,services,other,other,mother,1,3
4169,female,group B,master's degree,standard,yes,56,71,69,yes,1,3,2,7,services,teacher,reputation,other,2,3
4170,female,group E,high school,standard,yes,64,76,59,no,1,4,4,42,at_home,other,course,father,3,2
4171,male,group C,high school,standard,yes,49,75,61,no,2,2,2,45,other,teacher,course,mother,2,3
4172,female,group A,master's degree,standard,yes,46,81,55,yes,4,5,3,6,teacher,teacher,reputation,other,3,2
4173,female,group C,some college,standard,yes,66,78,53,no,3,1,2,19,at_home,at_home,home,mother,4,1
4174,female,group E,some high school,standard,none,51,80,46,yes,2,5,3,8,at_home,teacher,other,father,1,3
4175,male,group C,some high school,standard,none,46,82,64,yes,1,1,1,71,at_home,other,reputation,father,4,4
4176,female,group B,some high school,free/reduced,yes,58,75,40,no,5,4,1,19,services,health,course,mother,1,2
4177,female,group B,bachelor's degree,standard,yes,67,67,52,yes,1,2,1,1,health,other,other,mother,3,3
4178,male,group E,some college,free/reduced,yes,55,80,47,yes,4,4,1,25,teacher,teacher,home,mother,4,1
4179,male,group D,master's degree,standard,yes,59,80,70,no,2,2,3,29,health,other,home,mother,1,3
4180,male,group C,some high school,free/reduced,yes,43,71,45,no,4,1,3,32,health,at_home,home,father,4,1
4181,female,group B,master's degree,standard,yes,49,67,66,yes,3,1,3,43,other,health,reputation,other,1,4
4182,female,group A,master's degree,free/reduced,yes,63,71,60,no,2,4,3,44,at_home,health,course,father,3,2
4183,female,group A,some high school,standard,yes,46,88,63,yes,4,5,1,26,teacher,at_home,home,father,4,2
4184,female,group A,some college,standard,yes,66,68,56,yes,3,4,3,75,health,at_home,other,other,2,4
4185,female,group B,bachelor's degree,free/reduced,yes,49,75,45,no,3,1,5,10,teacher,teacher,other,father,4,4
4186,female,group D,some college,free/reduced,yes,65,88,41,yes,2,5,5,74,other,at_home,course,father,4,2
4187,male,group E,some high school,standard,none,53,88,62,no,2,3,1,22,teacher,at_home,other,father,2,1
4188,female,group B,some high school,standard,none,55,69,63,no,5,4,4,9,other,services,reputation,other,3,2
4189,female,group D,some high school,standard,yes,60,79,64,no,4,3,4,33,at_home,teacher,other,other,1,3
4190,female,group A,master's degree,free/reduced,yes,60,87,46,no,3,5,1,35,health,at_home,course,mother,4,1
4191,female,group B,bachelor's degree,free/reduced,yes,63,88,44,no,3,5,4,63,health,health,home,mother,2,4
4192,female,group A,some high school,free/reduced,yes,52,74,63,no,4,3,2,3,teacher,health,home,mother,2,1
4193,male,group B,some college,standard,yes,45,70,52,yes,4,2,3,56,other,other,other,mother,1,4
4194,female,group A,some college,free/reduced,yes,40,76,41,yes,4,1,3,70,services,health,home,other,4,4
4195,male,group D,high school,standard,none,70,76,57,no,2,5,1,45,other,teacher,other,mother,4,4
4196,female,group D,bachelor's degree,free/reduced,yes,65,76,42,yes,5,2,5,30,other,health,reputation,mother,1,3
4197,female,group C,some college,standard,yes,69,85,45,no,2,5,3,64,at_home,at_home,home,other,4,2
4198,male,group E,master's degree,standard,yes,57,82,47,yes,5,4,3,51,teacher,services,home,father,4,2
4199,female,group D,bachelor's degree,free/reduced,yes,48,73,52,no,1,3,3,6,other,teacher,course,mother,2,3
4200,female,group B,some high school,standard,none,45,86,50,yes,2,5,1,19,teacher,services,course,other,3,3
4201,male,group A,some high school,standard,none,40,72,43,yes,3,2,1,1,services,health,other,mother,4,1
4202,male,group D,some college,standard,none,52,70,54,yes,4,1,1,22,at_home,health,course,father,2,3
4203,male,group D,some college,standard,yes,43,71,45,yes,1,5,4,15,teacher,health,home,father,4,2
4204,male,group B,bachelor's degree,standard,yes,46,67,46,no,1,3,3,28,at_home,services,reputation,other,1,3
4205,female,group E,bachelor's degree,standard,yes,46,70,49,yes,1,1,3,22,teacher,health,home,father,1,3
4206,female,group D,some high school,free/reduced,none,53,88,42,yes,5,1,1,46,other,health,other,mother,3,3
4207,male,group C,bachelor's degree,standard,none,70,81,47,yes,1,3,3,73,at_home,teacher,course,other,1,3
4208,male,group E,some college,standard,none,70,68,70,no,5,1,4,54,teacher,teacher,reputation,father,4,2
4209,female,group B,bachelor's degree,standard,none,52,72,48,no,4,5,5,75,services,other,other,mother,2,4
4210,female,group C,some college,free/reduced,yes,63,77,48,yes,5,3,4,25,teacher,other,other,mother,3,1
4211,male,group D,high school,free/reduced,none,54,74,62,yes,3,3,3,6,health,other,course,other,2,3
4212,male,group B,master's degree,free/reduced,yes,69,89,70,no,5,5,3,28,health,teacher,course,father,1,4
4213,female,group C,some high school,free/reduced,yes,61,75,68,yes,2,1,5,74,at_home,services,reputation,father,3,4
4214,male,group A,some high school,standard,none,57,67,50,yes,1,3,1,73,health,health,course,father,3,2
4215,female,group D,some high school,free/reduced,yes,49,77,48,no,3,2,2,50,services,other,course,mother,4,2
4216,male,group D,high school,free/reduced,yes,48,68,57,no,1,5,4,8,health,services,home,father,3,3
4217,female,group E,master's degree,standard,none,52,68,54,yes,1,5,2,47,other,services,home,father,1,4
4218,male,group B,some high school,standard,none,60,83,44,no,5,1,1,11,other,health,other,father,3,4
4219,female,group E,some college,free/reduced,yes,40,71,61,yes,4,2,3,68,health,health,home,mother,2,2
4220,female,group D,master's degree,standard,none,40,68,40,no,3,2,3,36,teacher,health,home,mother,3,2
4221,female,group A,some high school,free/reduced,none,56,85,42,no,1,5,1,15,services,services,course,father,2,2
4222,female,group D,high school,free/reduced,yes,53,68,64,no,5,1,5,68,teacher,health,reputation,mother,4,1
4223,male,group B,high school,free/reduced,none,68,78,44,no,2,2,4,41,teacher,at_home,other,father,2,2
4224,female,group A,some college,standard,none,41,79,55,yes,2,2,2,46,teacher,other,reputation,mother,2,3
4225,female,group A,some college,free/reduced,none,43,70,66,yes,1,5,3,70,teacher,teacher,reputation,other,2,2
4226,female,group B,bachelor's degree,standard,none,61,75,69,no,3,4,3,24,at_home,health,home,father,3,4
4227,male,group C,some high school,free/reduced,yes,42,89,59,yes,1,2,1,41,teacher,health,reputation,mother,3,4
4228,female,group C,high school,standard,yes,45,88,51,no,3,3,2,35,at_home,other,home,other,3,3
4229,male,group C,master's degree,standard,yes,69,73,58,yes,4,4,5,10,other,other,other,other,3,2
4230,female,group E,master's degree,standard,yes,53,84,70,yes,1,5,1,16,services,other,home,other,2,4
4231,male,group B,master's degree,standard,yes,41,86,63,yes,5,2,3,75,other,teacher,reputation,father,1,3
4232,male,group E,high school,free/reduced,none,54,77,60,yes,3,1,4,0,teacher,other,other,other,2,2
4233,male,group E,some high school,standard,yes,67,85,69,yes,1,1,2,5,at_home,other,home,father,1,3
4234,male,group D,some college,standard,yes,63,86,48,no,2,4,2,14,services,teacher,reputation,father,1,3
4235,male,group E,some high school,free/reduced,yes,47,83,70,yes,3,4,3,56,at_home,services,other,other,4,4
4236,female,group A,high school,standard,yes,49,72,54,yes,5,1,4,43,at_home,teacher,course,father,4,4
4237,male,group B,master's degree,free/reduced,none,44,70,70,no,5,4,2,59,services,other,home,father,1,3
4238,female,group C,master's degree,standard,yes,48,86,69,no,4,4,5,12,other,other,reputation,father,4,1
4239,female,group A,some high school,standard,none,60,81,48,yes,3,1,3,28,other,health,course,mother,3,1
4240,female,group B,some college,standard,yes,56,70,70,yes,3,5,4,13,at_home,at_home,home,mother,1,3
4241,male,group E,high school,standard,none,44,82,60,no,3,4,4,4,other,health,other,other,1,3
4242,female,group E,high school,free/reduced,none,42,69,55,no,3,3,2,23,at_home,health,other,mother,3,4
4243,male,group B,some high school,standard,none,68,88,44,no,3,5,3,21,health,other,other,other,4,4
4244,female,group A,bachelor's degree,standard,none,47,85,47,yes,4,1,5,27,at_home,other,other,father,1,4
4245,female,group C,some high school,standard,none,57,76,62,yes,3,2,4,61,teacher,other,home,other,2,3
4246,female,group A,some college,standard,none,69,75,57,no,5,4,1,58,teacher,other,reputation,mother,3,3
4247,female,group C,some college,standard,none,59,71,44,yes,5,5,2,3,at_home,services,home,mother,1,3
4248,male,group E,bachelor's degree,free/reduced,yes,42,67,59,no,4,3,4,25,other,teacher,course,father,3,2
4249,male,group C,master's degree,free/reduced,yes,55,72,60,no,4,3,2,27,at_home,at_home,course,other,4,4
4250,male,group C,high school,free/reduced,none,45,83,57,yes,1,1,2,5,services,other,home,mother,3,4
4251,male,group C,high school,free/reduced,none,41,82,60,no,2,5,2,57,services,health,other,mother,4,3
4252,female,group B,bachelor's degree,standard,none,58,80,55,no,5,1,3,23,health,teacher,home,mother,4,3
4253,male,group A,some college,standard,none,53,76,47,no,3,5,5,46,other,teacher,reputation,other,1,3
4254,female,group A,some college,free/reduced,yes,52,76,69,yes,5,5,4,17,teacher,teacher,course,mother,2,3
4255,male,group C,bachelor's degree,standard,none,61,72,59,yes,5,2,2,54,at_home,health,reputation,other,2,2
4256,male,group C,bachelor's degree,standard,none,64,81,53,yes,4,2,2,7,services,teacher,course,mother,1,4
4257,female,group A,high school,free/reduced,yes,45,67,61,no,2,2,3,69,health,teacher,other,other,2,3
4258,male,group D,some college,free/reduced,yes,65,71,50,yes,1,3,3,34,teacher,teacher,reputation,other,2,1
4259,male,group D,some college,standard,none,67,76,63,no,5,1,5,33,other,teacher,other,other,1,4
4260,male,group E,bachelor's degree,standard,none,49,76,58,yes,5,5,4,21,teacher,other,home,other,2,4
4261,female,group A,high school,standard,none,59,82,45,no,4,4,3,28,health,services,course,father,1,1
4262,male,group B,master's degree,standard,yes,43,68,66,yes,1,4,5,23,at_home,health,other,mother,1,1
4263,female,group B,some college,standard,none,58,79,60,no,2,1,4,25,services,health,reputation,other,4,4
4264,male,group A,some college,standard,yes,67,86,41,yes,5,1,4,33,teacher,other,course,father,3,3
4265,male,group E,high school,standard,none,47,68,47,yes,4,4,4,17,health,at_home,course,father,2,1
4266,male,group A,some high school,free/reduced,none,54,79,70,no,5,4,2,30,at_home,health,home,other,1,3
4267,female,group D,master's degree,free/reduced,yes,68,86,56,yes,1,5,2,12,at_home,other,other,mother,2,3
4268,male,group A,some high school,free/reduced,none,41,81,44,yes,1,1,5,0,at_home,health,other,father,4,2
4269,male,group E,high school,free/reduced,none,49,76,47,yes,2,5,5,5,health,at_home,course,other,3,1
4270,female,group E,some high school,standard,none,57,78,47,no,2,2,5,13,services,services,course,mother,4,2
4271,female,group C,master's degree,free/reduced,none,55,74,65,yes,1,2,5,74,other,services,reputation,father,4,3
4272,male,group A,bachelor's degree,free/reduced,yes,44,78,70,yes,2,1,4,12,other,teacher,reputation,father,3,1
4273,male,group E,master's degree,standard,none,41,77,62,no,3,1,5,23,health,other,other,mother,2,4
4274,female,group E,some high school,standard,yes,67,74,53,no,5,4,1,5,services,services,reputation,father,1,2
4275,female,group A,high school,free/reduced,yes,70,72,67,yes,5,4,5,62,at_home,at_home,other,other,1,1
4276,female,group E,bachelor's degree,standard,none,40,86,61,no,4,4,5,63,health,at_home,home,mother,4,3
4277,male,group E,high school,free/reduced,yes,67,80,56,yes,1,1,1,6,teacher,teacher,other,mother,1,1
4278,female,group B,some high school,standard,yes,51,81,64,no,1,3,5,62,health,health,other,father,3,3
4279,female,group D,master's degree,free/reduced,yes,58,80,45,no,4,4,4,11,teacher,at_home,other,other,4,3
4280,female,group A,master's degree,free/reduced,yes,70,83,59,no,4,2,5,16,other,other,course,other,4,3
